Step,Time,Temp,PotEng,TotEng,Press,Volume
323000,322.999,101.9787,2656.0384,2708.7524,223368.57,114611.19
324000,323.999,100.81488,2642.049,2694.1614,222242.61,114716.23
325000,324.999,98.979307,2628.3803,2679.5438,221132.73,114822.02
326000,325.999,100.97934,2612.6981,2664.8954,219922.45,114928.56
327000,326.999,100.97749,2598.0241,2650.2205,218762.53,115035.87
328000,327.999,99.432931,2584.1203,2635.5183,217640.1,115143.96
329000,328.999,100.0981,2569.0467,2620.7886,216460.51,115252.81
330000,329.999,100.04742,2554.3189,2606.0345,215297.7,115362.43
331000,330.999,99.087082,2540.0383,2591.2575,214156.79,115472.82
332000,331.999,98.125025,2525.7376,2576.4595,213015.02,115583.96
333000,332.999,98.854079,2510.5442,2561.643,211829.67,115695.85
334000,333.999,97.665587,2496.3266,2546.811,210692.73,115808.48
335000,334.999,98.211203,2481.198,2531.9645,209511.2,115921.83
336000,335.999,98.825057,2466.0246,2517.1084,208328.42,116035.89
337000,336.999,99.342411,2450.8931,2502.2443,207147.84,116150.65
338000,337.999,98.329572,2436.5469,2487.3746,206006.7,116266.1
339000,338.999,98.313879,2421.6835,2472.5031,204840.33,116382.22
340000,339.999,96.517424,2407.7395,2457.6305,203719.97,116499.01
341000,340.999,96.020973,2393.1247,2442.759,202567.85,116616.45
342000,341.999,96.931869,2377.7847,2427.8899,201380.63,116734.55
343000,342.999,94.976937,2363.9318,2413.0264,200267.46,116853.29
344000,343.999,95.82089,2348.6358,2398.1667,199084.65,116972.67
345000,344.999,96.963003,2333.1923,2383.3136,197895.53,117092.7
346000,345.999,97.212933,2318.2172,2368.4677,196730.75,117213.38
347000,346.999,96.619752,2303.6849,2353.6288,195587.43,117334.71
348000,347.999,96.045743,2289.1499,2338.797,194446,117456.7
349000,348.999,97.109075,2273.7753,2323.9721,193264.02,117579.36
350000,349.999,95.400794,2259.84,2309.1537,192153.75,117702.7
351000,350.999,95.061848,2245.2,2294.3385,191009.85,117826.74
352000,351.999,95.174795,2230.3319,2279.5289,189855.42,117951.48
353000,352.999,94.05613,2216.1048,2264.7235,188733.39,118076.96
354000,353.999,95.042513,2200.7891,2249.9176,187559.53,118203.18
355000,354.999,92.994604,2187.046,2235.1159,186461.78,118330.17
356000,355.999,94.703441,2171.3555,2220.3088,185271.96,118457.94
357000,356.999,93.6359,2157.1031,2205.5046,184151.94,118586.52
358000,357.999,93.595657,2142.3148,2190.6954,183005.9,118715.92
359000,358.999,90.701471,2129.0012,2175.8858,181932.78,118846.17
360000,359.999,92.236118,2113.3872,2161.0651,180748.27,118977.29
361000,360.999,92.613237,2098.3703,2146.2432,179593.66,119109.29
362000,361.999,90.821447,2084.4669,2131.4136,178494.21,119242.19
363000,362.999,93.865988,2068.0488,2116.5692,177273.8,119376.02
364000,363.999,91.776832,2054.2843,2101.7248,176181.44,119510.78
365000,364.999,91.137514,2039.7627,2086.8727,175053,119646.5
366000,365.999,91.153647,2024.8907,2072.009,173908.52,119783.19
367000,366.999,90.240413,2010.4896,2057.1359,172786.78,119920.85
368000,367.999,90.678273,1995.3873,2042.2599,171632.29,120059.51
369000,368.999,91.103127,1980.2776,2027.3698,170477.6,120199.18
370000,369.999,89.896696,1966.0055,2012.4741,169364.53,120339.86
371000,370.999,88.908599,1951.616,1997.5739,168245.39,120481.57
372000,371.999,89.108239,1936.6036,1982.6647,167098.39,120624.3
373000,372.999,88.723094,1921.8866,1967.7486,165965.21,120768.09
374000,373.999,90.231365,1906.182,1952.8236,164786.32,120912.92
375000,374.999,89.02199,1891.8831,1937.8995,163674.22,121058.81
376000,375.999,88.654172,1877.1488,1922.9751,162542.76,121205.77
377000,376.999,89.05986,1861.9996,1908.0357,161392.27,121353.8
378000,377.999,89.587996,1846.793,1893.102,160239.26,121502.91
379000,378.999,88.785845,1832.2716,1878.166,159120.14,121653.1
380000,379.999,86.782498,1818.379,1863.2379,158030.61,121804.4
381000,380.999,87.009621,1803.3168,1848.293,156887.12,121956.8
382000,381.999,86.054628,1788.877,1833.3596,155774.04,122110.32
383000,382.999,87.721193,1773.0766,1818.4206,154597.2,122264.96
384000,383.999,86.959058,1758.5353,1803.4854,153480.8,122420.73
385000,384.999,86.238553,1743.985,1788.5627,152364.81,122577.65
386000,385.999,87.145823,1728.5777,1773.6243,151210.07,122735.72
387000,386.999,85.715605,1714.4122,1758.7196,150113.12,122894.97
388000,387.999,86.186423,1699.2414,1743.7921,148970.93,123055.4
389000,388.999,85.585104,1684.6378,1728.8777,147855.44,123217.03
390000,389.999,87.064886,1668.9479,1713.9528,146690.88,123379.88
391000,390.999,85.271893,1654.9697,1699.0477,145606.91,123543.95
392000,391.999,85.365261,1640.0187,1684.1449,144478.3,123709.27
393000,392.999,83.264673,1626.195,1669.2355,143403.15,123875.86
394000,393.999,83.92303,1610.958,1654.3387,142262.81,124043.73
395000,394.999,84.19762,1595.9117,1639.4345,141133.57,124212.9
396000,395.999,84.431768,1580.8955,1624.5392,140005.81,124383.39
397000,396.999,83.665268,1566.408,1609.6555,138903.81,124555.22
